# Hecus319-D2O-30C.dat
#
# sample:	005351.chi
# background:	005205_005207.chi
# scfb = 0.87
# y' = y(sample) - scfb * y(background)
# dy' = sqrt( dy(sample)^2 + ( scfb * dy(background) )^2 )
# Drop 0 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           dI [1/cm]
        0.5150740840        0.0090738004        0.0000585649
        0.5189036310        0.0079845693        0.0000697240
        0.5227331780        0.0083591388        0.0000768305
        0.5265627250        0.0080803042        0.0000695185
        0.5303922720        0.0092209419        0.0000672662
        0.5342218190        0.0095524963        0.0000618033
        0.5380513660        0.0091467375        0.0000661570
        0.5418809130        0.0083187376        0.0000572592
        0.5457104600        0.0071043819        0.0000546003
        0.5495400080        0.0081052944        0.0000617988
        0.5533695550        0.0084278406        0.0000586431
        0.5571991020        0.0072482493        0.0000665205
        0.5610286490        0.0077659436        0.0000626984
        0.5648581960        0.0084044729        0.0000681887
        0.5686877430        0.0085599330        0.0000644484
        0.5725172900        0.0077935578        0.0000765541
        0.5763468370        0.0070269073        0.0000715368
        0.5801763840        0.0071186129        0.0000704292
        0.5840059310        0.0086108927        0.0000715784
        0.5878354780        0.0086438049        0.0000757128
        0.5916650260        0.0078732320        0.0000653338
        0.5954945730        0.0069388961        0.0000654917
        0.5993241200        0.0065298328        0.0000607296
        0.6031536670        0.0069568150        0.0000804167
        0.6069832140        0.0056665986        0.0000604332
        0.6108127610        0.0072823127        0.0000699135
        0.6146423080        0.0066762374        0.0000819337
        0.6184718550        0.0066575859        0.0000617244
        0.6223014020        0.0068226232        0.0000690612
        0.6261309490        0.0056645255        0.0000560123
        0.6299604960        0.0063420521        0.0000692483
        0.6337900440        0.0076536650        0.0000658377
        0.6376195910        0.0068625767        0.0000722796
        0.6414491380        0.0077956433        0.0000673095
        0.6452786850        0.0079093119        0.0000691746
        0.6491082320        0.0078551428        0.0000842808
        0.6529377790        0.0068193833        0.0000726153
        0.6567673260        0.0079095566        0.0000749345
        0.6605968730        0.0071798059        0.0000769844
        0.6644264200        0.0070487811        0.0000782559
        0.6682559670        0.0095855403        0.0000896054
        0.6720855140        0.0083666598        0.0000747412
        0.6759150620        0.0102576666        0.0000905759
        0.6797446090        0.0090749690        0.0000886630
        0.6835741560        0.0087063966        0.0000921019
        0.6874037030        0.0093871242        0.0000961766
        0.6912332500        0.0092490430        0.0001008595
        0.6950627970        0.0112310626        0.0000988945
        0.6988923440        0.0098559934        0.0000746464
        0.7027218910        0.0120933395        0.0000786267
        0.7065514380        0.0127892745        0.0000864688
        0.7103809850        0.0112576358        0.0001025530
        0.7142105320        0.0121237822        0.0001002019
        0.7180400800        0.0147724076        0.0000952223
        0.7218696270        0.0160272085        0.0000908327
        0.7256991740        0.0168974200        0.0000901085
        0.7295287210        0.0175632004        0.0000888926
        0.7333582680        0.0172604130        0.0000978309
        0.7371878150        0.0174849878        0.0000898142
        0.7410173620        0.0161581812        0.0000893005
        0.7448469090        0.0156734080        0.0000841270
        0.7486764560        0.0158831988        0.0000863617
        0.7525060030        0.0150933552        0.0000770445
        0.7563355500        0.0138955699        0.0000824349
        0.7601650980        0.0136937534        0.0000834200
        0.7639946450        0.0136805844        0.0000933768
        0.7678241920        0.0131631900        0.0000974392
        0.7716537390        0.0123569287        0.0001008041
        0.7754832860        0.0116304874        0.0000961048
        0.7793128330        0.0091489832        0.0000851553
        0.7831423800        0.0090166982        0.0000892586
        0.7869719270        0.0083601856        0.0000825217
        0.7908014740        0.0081037386        0.0000987220
        0.7946310210        0.0079832279        0.0000988257
        0.7984605680        0.0070620964        0.0000944599
        0.8022901160        0.0073904668        0.0000987262
        0.8061196630        0.0056584789        0.0000956934
        0.8099492100        0.0071627931        0.0001193721
        0.8137787570        0.0066618676        0.0001633383
        0.8176083040        0.0061593300        0.0001680876
        0.8214378510        0.0063321550        0.0001538723
        0.8252673980        0.0069788693        0.0002509352
        0.8290969450        0.0075470799        0.0002150771
        0.8329264920        0.0060293924        0.0002345091
        0.8367560390        0.0067648712        0.0002508037
        0.8405855860        0.0056241098        0.0002416776
        0.8444151340        0.0059156380        0.0003047365
        0.8482446810        0.0056805841        0.0003962395
        0.8520742280        0.0054335194        0.0003589735
        0.8559037750        0.0079025420        0.0006365042
        0.8597333220        0.0047796597        0.0006939083
        0.8635628690        0.0038251710        0.0008562610
        0.8712219630        0.0017490613        0.0012788719
        0.8750515100        0.0068004787        0.0013833729
        0.8788810570        0.0084308666        0.0021219433
        0.8827106040        0.0031839059        0.0007724581
        0.8865401520        0.0127896433        0.0017270675
        0.8903696990        0.0001752668        0.0011779127
        0.8941992460        0.0046412666        0.0003557986
        0.8980287930        0.0007000905        0.0029640192
