# Hecus337-D2O-30C.dat
#
# sample:	005450_005453.chi
# background:	005205_005207.chi
# scfb = 0.87
# y' = y(sample) - scfb * y(background)
# dy' = sqrt( dy(sample)^2 + ( scfb * dy(background) )^2 )
# Drop 0 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           dI [1/cm]
        0.6452786850        0.0069962776        0.0000675013
        0.6491082320        0.0069758598        0.0000716658
        0.6529377790        0.0065806517        0.0000701063
        0.6567673260        0.0066077848        0.0000719190
        0.6605968730        0.0067767336        0.0000657343
        0.6644264200        0.0078226723        0.0000660302
        0.6682559670        0.0092508070        0.0000707147
        0.6720855140        0.0079340284        0.0000665662
        0.6759150620        0.0085712206        0.0000779726
        0.6797446090        0.0098004004        0.0000698039
        0.6835741560        0.0085371602        0.0000593417
        0.6874037030        0.0095790307        0.0000637818
        0.6912332500        0.0102243126        0.0000755817
        0.6950627970        0.0114079257        0.0000736658
        0.6988923440        0.0107154700        0.0000729787
        0.7027218910        0.0112294343        0.0000738966
        0.7065514380        0.0128190511        0.0000632013
        0.7103809850        0.0137382768        0.0000663094
        0.7142105320        0.0141415986        0.0000567905
        0.7180400800        0.0157761988        0.0000717750
        0.7218696270        0.0157327501        0.0000697108
        0.7256991740        0.0169962697        0.0000712991
        0.7295287210        0.0168228996        0.0000954947
        0.7333582680        0.0174317629        0.0001021106
        0.7371878150        0.0160846944        0.0000926368
        0.7410173620        0.0164307802        0.0000968323
        0.7448469090        0.0155236186        0.0000975834
        0.7486764560        0.0152102230        0.0001012547
        0.7525060030        0.0152256849        0.0000728120
        0.7563355500        0.0152136595        0.0000735230
        0.7601650980        0.0142334708        0.0000729520
        0.7639946450        0.0131314041        0.0000668741
        0.7678241920        0.0127659748        0.0000702185
        0.7716537390        0.0116195655        0.0000630032
        0.7754832860        0.0104914223        0.0000669707
        0.7793128330        0.0092478766        0.0000637668
        0.7831423800        0.0088926266        0.0000693591
        0.7869719270        0.0083404587        0.0000721129
        0.7908014740        0.0082611847        0.0000791916
        0.7946310210        0.0080528968        0.0000803323
        0.7984605680        0.0072537130        0.0000695048
        0.8022901160        0.0079927143        0.0000773232
        0.8061196630        0.0072441166        0.0001050838
        0.8099492100        0.0054236298        0.0000960426
        0.8137787570        0.0052474515        0.0001462034
        0.8176083040        0.0056137764        0.0001635715
        0.8214378510        0.0053634762        0.0001363247
        0.8252673980        0.0041737785        0.0002302852
        0.8290969450        0.0066434114        0.0002589146
        0.8329264920        0.0052002614        0.0002784746
        0.8367560390        0.0064154609        0.0003167714
        0.8405855860        0.0051314913        0.0003106825
        0.8444151340        0.0044638708        0.0003228067
        0.8482446810        0.0038963837        0.0003804551
        0.8520742280        0.0029989870        0.0004421649
        0.8559037750        0.0055620666        0.0007728268
        0.8597333220        0.0057318490        0.0008208333
        0.8635628690        0.0081569271        0.0006852572
        0.8673924160        0.0097703563        0.0012270657
        0.8712219630        0.0074119346        0.0015829829
        0.8750515100        0.0080338721        0.0013026574
        0.8788810570        0.0082036057        0.0012068241
        0.8827106040        0.0074231323        0.0004054614
        0.8865401520        0.0000017865        0.0029434325
        0.8980287930        0.0072595759        0.0019903346
