# JCNS319-30C.dat
#
# low-Q:
# sample:	QI-53347-KWS-HF.RAD
# scf = 0.95
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 0 points at the beginning and 8 points at the end
#
# middle-Q:
# sample:	QI-53312-KWS-HF.RAD
# scf = 0.95
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 2 points at the beginning and 7 points at the end
#
# high-Q:
# sample:	QI-53295-KWS-HF.RAD
# y' = y(sample)
# dy' = dy(sample)
# Drop 8 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           ds [1/nm]           dI [1/cm]
        0.4736417684        0.1411152470        0.0405862628        0.0027896551
        0.4799899084        0.1391985070        0.0411197400        0.0030552040
        0.4863289145        0.1383408250        0.0416525848        0.0033202268
        0.4926586864        0.1394231010        0.0421847835        0.0035266242
        0.4989791255        0.1358455380        0.0427163224        0.0037191533
        0.5052901363        0.1398389140        0.0432471880        0.0039097821
        0.5115916184        0.1419552270        0.0437773676        0.0044644050
        0.5178834796        0.1339085230        0.0443068486        0.0057647452
        0.5241656228        0.1060420480        0.0448356184        0.0104167848
        0.5304379558        0.1386539390        0.0453636653        0.0375884852
        0.5367003861        0.1583475350        0.0458909773        0.0903546176
